days	S_Mean	E_Mean	IP_Mean	IA_Mean	TotalInfectious	H_Mean	ICU_Mean	Recovered_Mean	DeadCovid_Mean
0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0.999999	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2	0.999999	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3	0.999999	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4	0.999998	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5	0.999998	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6	0.999998	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
7	0.999998	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
8	0.999997	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9	0.999997	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10	0.999996	0.000002	0.000001	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000
11	0.999996	0.000002	0.000001	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000
12	0.999996	0.000002	0.000001	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000
13	0.999995	0.000003	0.000001	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000
14	0.999994	0.000003	0.000001	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000
15	0.999993	0.000004	0.000001	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000
16	0.999993	0.000004	0.000001	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000
17	0.999992	0.000005	0.000001	0.000000	0.000001	0.000000	0.000000	0.000001	0.000000
18	0.999991	0.000005	0.000002	0.000000	0.000001	0.000000	0.000000	0.000002	0.000000
19	0.999989	0.000006	0.000002	0.000000	0.000001	0.000000	0.000000	0.000002	0.000000
20	0.999988	0.000006	0.000002	0.000000	0.000001	0.000000	0.000000	0.000002	0.000000
21	0.999986	0.000007	0.000003	0.000001	0.000001	0.000000	0.000000	0.000002	0.000000
22	0.999984	0.000008	0.000003	0.000001	0.000001	0.000000	0.000000	0.000003	0.000000
23	0.999982	0.000009	0.000003	0.000001	0.000001	0.000001	0.000000	0.000003	0.000000
24	0.999980	0.000010	0.000004	0.000001	0.000001	0.000001	0.000000	0.000004	0.000000
25	0.999977	0.000012	0.000004	0.000001	0.000001	0.000001	0.000000	0.000004	0.000000
26	0.999973	0.000014	0.000004	0.000001	0.000002	0.000001	0.000000	0.000005	0.000000
27	0.999970	0.000016	0.000005	0.000001	0.000002	0.000001	0.000000	0.000006	0.000000
28	0.999966	0.000018	0.000006	0.000001	0.000002	0.000001	0.000000	0.000006	0.000000
29	0.999962	0.000020	0.000006	0.000001	0.000002	0.000001	0.000000	0.000007	0.000000
30	0.999957	0.000023	0.000007	0.000001	0.000003	0.000001	0.000000	0.000008	0.000000
31	0.999951	0.000026	0.000008	0.000002	0.000003	0.000001	0.000000	0.000009	0.000000
32	0.999945	0.000029	0.000009	0.000002	0.000003	0.000001	0.000000	0.000010	0.000000
33	0.999938	0.000033	0.000010	0.000002	0.000004	0.000002	0.000000	0.000012	0.000000
34	0.999929	0.000037	0.000011	0.000002	0.000004	0.000002	0.000000	0.000014	0.000000
35	0.999920	0.000043	0.000012	0.000003	0.000005	0.000002	0.000000	0.000015	0.000000
36	0.999910	0.000047	0.000015	0.000003	0.000005	0.000002	0.000000	0.000018	0.000000
37	0.999899	0.000052	0.000017	0.000003	0.000006	0.000003	0.000000	0.000020	0.000000
38	0.999886	0.000059	0.000020	0.000004	0.000007	0.000003	0.000000	0.000023	0.000000
39	0.999871	0.000066	0.000022	0.000004	0.000008	0.000003	0.000000	0.000026	0.000000
40	0.999854	0.000075	0.000024	0.000005	0.000009	0.000004	0.000000	0.000029	0.000000
41	0.999834	0.000086	0.000028	0.000006	0.000010	0.000004	0.000000	0.000033	0.000000
42	0.999812	0.000097	0.000031	0.000006	0.000012	0.000005	0.000000	0.000037	0.000000
43	0.999787	0.000111	0.000035	0.000007	0.000013	0.000005	0.000000	0.000042	0.000000
44	0.999760	0.000125	0.000039	0.000008	0.000014	0.000006	0.000000	0.000048	0.000000
45	0.999729	0.000142	0.000044	0.000009	0.000016	0.000007	0.000000	0.000053	0.000000
46	0.999693	0.000161	0.000049	0.000011	0.000017	0.000008	0.000000	0.000061	0.000000
47	0.999654	0.000181	0.000056	0.000011	0.000019	0.000009	0.000000	0.000069	0.000000
48	0.999610	0.000202	0.000065	0.000013	0.000022	0.000010	0.000000	0.000078	0.000000
49	0.999560	0.000229	0.000073	0.000015	0.000025	0.000011	0.000000	0.000088	0.000000
50	0.999504	0.000257	0.000082	0.000017	0.000028	0.000013	0.000000	0.000099	0.000000
51	0.999439	0.000290	0.000094	0.000019	0.000031	0.000014	0.000000	0.000112	0.000000
52	0.999366	0.000329	0.000105	0.000021	0.000036	0.000016	0.000000	0.000127	0.000000
53	0.999285	0.000370	0.000118	0.000024	0.000042	0.000018	0.000000	0.000143	0.000000
54	0.999191	0.000419	0.000133	0.000027	0.000048	0.000020	0.000000	0.000161	0.000000
55	0.999085	0.000476	0.000149	0.000032	0.000053	0.000023	0.000000	0.000182	0.000000
56	0.998965	0.000539	0.000168	0.000035	0.000060	0.000026	0.000001	0.000206	0.000000
57	0.998831	0.000607	0.000194	0.000039	0.000067	0.000029	0.000001	0.000233	0.000000
58	0.998679	0.000686	0.000220	0.000044	0.000075	0.000033	0.000001	0.000263	0.000000
59	0.998508	0.000774	0.000248	0.000050	0.000085	0.000037	0.000001	0.000297	0.000000
60	0.998312	0.000877	0.000279	0.000057	0.000097	0.000042	0.000001	0.000335	0.000000
61	0.998091	0.000992	0.000314	0.000064	0.000111	0.000048	0.000001	0.000378	0.000000
62	0.997842	0.001122	0.000357	0.000072	0.000124	0.000055	0.000001	0.000428	0.000000
63	0.997562	0.001267	0.000402	0.000082	0.000140	0.000062	0.000001	0.000483	0.000000
64	0.997241	0.001435	0.000455	0.000094	0.000158	0.000071	0.000001	0.000546	0.000000
65	0.996881	0.001621	0.000516	0.000104	0.000178	0.000080	0.000002	0.000618	0.000000
66	0.996474	0.001834	0.000583	0.000117	0.000203	0.000090	0.000002	0.000697	0.000000
67	0.996016	0.002072	0.000658	0.000133	0.000231	0.000102	0.000002	0.000787	0.000000
68	0.995499	0.002340	0.000744	0.000151	0.000260	0.000114	0.000002	0.000890	0.000000
69	0.994909	0.002650	0.000839	0.000169	0.000294	0.000129	0.000002	0.001007	0.000000
70	0.994243	0.002995	0.000948	0.000192	0.000335	0.000146	0.000003	0.001138	0.000000
71	0.993502	0.003375	0.001075	0.000216	0.000375	0.000166	0.000003	0.001289	0.000000
72	0.992660	0.003813	0.001215	0.000245	0.000422	0.000186	0.000004	0.001455	0.000000
73	0.991704	0.004313	0.001369	0.000276	0.000479	0.000211	0.000004	0.001645	0.000000
74	0.990631	0.004866	0.001549	0.000311	0.000541	0.000238	0.000004	0.001858	0.000000
75	0.989421	0.005491	0.001749	0.000354	0.000611	0.000270	0.000005	0.002099	0.000000
76	0.988049	0.006204	0.001973	0.000402	0.000691	0.000304	0.000006	0.002371	0.000000
77	0.986506	0.006999	0.002228	0.000453	0.000781	0.000343	0.000007	0.002682	0.000000
78	0.984769	0.007894	0.002515	0.000511	0.000882	0.000390	0.000008	0.003031	0.000000
79	0.982818	0.008893	0.002846	0.000574	0.000997	0.000439	0.000009	0.003425	0.000000
80	0.980616	0.010019	0.003213	0.000650	0.001128	0.000496	0.000010	0.003868	0.000000
81	0.978131	0.011294	0.003627	0.000733	0.001272	0.000561	0.000011	0.004369	0.000000
82	0.975341	0.012726	0.004088	0.000826	0.001436	0.000633	0.000013	0.004937	0.000000
83	0.972208	0.014319	0.004611	0.000934	0.001624	0.000717	0.000014	0.005573	0.000000
84	0.968692	0.016115	0.005199	0.001051	0.001833	0.000799	0.000016	0.006295	0.000011
85	0.964743	0.018138	0.005852	0.001184	0.002070	0.000884	0.000019	0.007109	0.000020
86	0.960352	0.020390	0.006586	0.001336	0.002336	0.000957	0.000021	0.008023	0.000048
87	0.955460	0.022892	0.007396	0.001510	0.002634	0.001025	0.000024	0.009060	0.000068
88	0.950018	0.025653	0.008323	0.001699	0.002964	0.001086	0.000027	0.010230	0.000090
89	0.943986	0.028721	0.009346	0.001915	0.003342	0.001115	0.000030	0.011544	0.000139
90	0.937314	0.032085	0.010501	0.002146	0.003759	0.001138	0.000034	0.013023	0.000169
91	0.929916	0.035792	0.011773	0.002413	0.004228	0.001159	0.000038	0.014683	0.000196
92	0.921734	0.039854	0.013195	0.002712	0.004745	0.001167	0.000041	0.016550	0.000240
93	0.912704	0.044308	0.014762	0.003047	0.005331	0.001165	0.000046	0.018638	0.000287
94	0.902750	0.049187	0.016474	0.003416	0.005982	0.001161	0.000050	0.020981	0.000329
95	0.891804	0.054491	0.018377	0.003825	0.006691	0.001159	0.000055	0.023599	0.000380
96	0.879799	0.060245	0.020461	0.004255	0.007492	0.001156	0.000059	0.026533	0.000425
97	0.866672	0.066457	0.022730	0.004741	0.008381	0.001153	0.000064	0.029801	0.000481
98	0.852390	0.073100	0.025211	0.005280	0.009359	0.001151	0.000068	0.033441	0.000544
99	0.836845	0.080230	0.027920	0.005880	0.010424	0.001151	0.000073	0.037478	0.000620
100	0.819973	0.087860	0.030843	0.006522	0.011604	0.001149	0.000077	0.041973	0.000695
101	0.801776	0.095923	0.034015	0.007224	0.012869	0.001146	0.000081	0.046967	0.000784
102	0.782220	0.104390	0.037411	0.007985	0.014272	0.001146	0.000084	0.052491	0.000874
103	0.761309	0.113214	0.041021	0.008818	0.015813	0.001146	0.000088	0.058591	0.000975
104	0.739040	0.122373	0.044846	0.009696	0.017472	0.001145	0.000091	0.065337	0.001083
105	0.715500	0.131718	0.048888	0.010647	0.019236	0.001147	0.000095	0.072769	0.001214
106	0.690708	0.141176	0.053167	0.011638	0.021136	0.001147	0.000098	0.080930	0.001348
107	0.664722	0.150680	0.057592	0.012715	0.023175	0.001149	0.000101	0.089866	0.001481
108	0.637652	0.160076	0.062207	0.013835	0.025348	0.001147	0.000103	0.099632	0.001616
109	0.609640	0.169232	0.066956	0.015022	0.027615	0.001150	0.000105	0.110281	0.001784
110	0.580795	0.178074	0.071772	0.016223	0.030007	0.001154	0.000107	0.121868	0.001946
111	0.551271	0.186470	0.076597	0.017492	0.032509	0.001153	0.000108	0.134401	0.002118
112	0.521337	0.194198	0.081398	0.018764	0.035111	0.001153	0.000110	0.147930	0.002305
113	0.491179	0.201078	0.086132	0.020061	0.037768	0.001152	0.000111	0.162520	0.002479
114	0.460933	0.207101	0.090686	0.021380	0.040483	0.001153	0.000111	0.178152	0.002656
115	0.430930	0.212048	0.095029	0.022648	0.043216	0.001153	0.000112	0.194864	0.002855
116	0.401367	0.215818	0.099092	0.023895	0.045941	0.001152	0.000112	0.212623	0.003046
117	0.372484	0.218295	0.102787	0.025089	0.048634	0.001152	0.000113	0.231446	0.003233
118	0.344434	0.219432	0.106124	0.026213	0.051252	0.001149	0.000113	0.251283	0.003413
119	0.317434	0.219218	0.108944	0.027241	0.053799	0.001152	0.000113	0.272100	0.003588
120	0.291614	0.217695	0.111178	0.028197	0.056212	0.001150	0.000114	0.293840	0.003754
121	0.267232	0.214727	0.112884	0.029017	0.058428	0.001149	0.000114	0.316449	0.003909
122	0.244340	0.210497	0.113925	0.029672	0.060443	0.001149	0.000115	0.339860	0.004055
123	0.222997	0.205074	0.114333	0.030189	0.062220	0.001148	0.000114	0.363923	0.004196
124	0.203282	0.198565	0.114039	0.030568	0.063732	0.001149	0.000114	0.388551	0.004301
125	0.185234	0.191064	0.113087	0.030788	0.064943	0.001151	0.000114	0.413619	0.004379
126	0.168803	0.182802	0.111494	0.030799	0.065797	0.001149	0.000114	0.439042	0.004460
127	0.153983	0.173899	0.109273	0.030609	0.066331	0.001151	0.000114	0.464639	0.004511
128	0.140700	0.164461	0.106496	0.030292	0.066546	0.001151	0.000114	0.490240	0.004526
129	0.128945	0.154658	0.103245	0.029787	0.066324	0.001150	0.000113	0.515778	0.004541
130	0.118558	0.144723	0.099446	0.029133	0.065794	0.001150	0.000113	0.541082	0.004526
131	0.109491	0.134758	0.095273	0.028331	0.064916	0.001150	0.000113	0.565969	0.004482
132	0.101572	0.124918	0.090763	0.027388	0.063724	0.001150	0.000113	0.590372	0.004401
133	0.094701	0.115331	0.086023	0.026320	0.062227	0.001150	0.000113	0.614135	0.004321
134	0.088813	0.106038	0.081112	0.025175	0.060434	0.001152	0.000113	0.637163	0.004222
135	0.083797	0.097177	0.076058	0.023953	0.058372	0.001149	0.000114	0.659381	0.004113
136	0.079525	0.088794	0.070988	0.022637	0.056119	0.001150	0.000113	0.680674	0.003963
137	0.075912	0.080898	0.065982	0.021317	0.053665	0.001151	0.000114	0.700963	0.003820
138	0.072879	0.073520	0.061075	0.019955	0.051074	0.001149	0.000114	0.720235	0.003656
139	0.070316	0.066692	0.056309	0.018599	0.048382	0.001151	0.000115	0.738435	0.003479
140	0.068192	0.060395	0.051738	0.017273	0.045614	0.001151	0.000115	0.755523	0.003316
141	0.066435	0.054635	0.047375	0.015978	0.042804	0.001150	0.000116	0.771507	0.003141
142	0.064964	0.049368	0.043262	0.014708	0.040004	0.001151	0.000116	0.786427	0.002943
143	0.063769	0.044551	0.039382	0.013505	0.037255	0.001150	0.000115	0.800273	0.002767
144	0.062784	0.040182	0.035757	0.012358	0.034580	0.001149	0.000116	0.813075	0.002572
145	0.061970	0.036227	0.032430	0.011273	0.031980	0.001152	0.000116	0.824852	0.002401
